"district_nces_code","district_name","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
"4400570","Lincoln School District","Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",1,0.25,8,9,0.231863442389758,1406
"0903030","North Haven School District","New Haven, CT","New Haven-Milford, CT","New Haven-Milford, CT",0,0,7.25,8,0,1565
"4022860","Olive School District","Tulsa, OK","Tulsa, OK","Tulsa, OK",0,0,7,7,0,268
"4205640","Charleroi School District","Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",0,0,5,5,0,727
"2628740","Pontiac City School District","Warren, MI","Warren-Troy-Farmington Hills, MI","Detroit-Warren-Dearborn, MI",0,0,2.8,5,0,2364
"3406450","Haledon Public School District","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,5,5,0,1018
"0904680","Vernon School District","Hartford, CT","Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",0,0,5.2,8,0,1762
"1802830","Zionsville Community Schools","Indianapolis, IN","Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",5,1,9.6,10,1,2735
"0629580","Palmdale Elementary School District","Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",0,0,3.44,6,0,14410
"4009750","Depew School District","Tulsa, OK","Tulsa, OK","Tulsa, OK",0,0,6,6,0,238
"0619700","Kings Canyon Joint Unified","Fresno, CA","Fresno, CA","Fresno, CA",0,0,4.33,7,0,5476
"4900870","Salt Lake District","Salt Lake City, UT","Salt Lake City, UT","Salt Lake City, UT",6,0.222222222222222,5.04,10,0.207754509641302,14469
"4222620","Springfield Township School District","Montgomery County, PA","Montgomery County-Bucks County-Chester County, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,8,8,0,723
"0635700","Santa Monica-Malibu Unified School District","Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",6,0.6,8.6,10,0.680855481727575,4816
"3602520","Albion Central School District","Rochester, NY","Rochester, NY","Rochester, NY",0,0,4,4,0,941
"3411580","North Hanover Township School District","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,5.5,7,0,686
"0624230","McFarland Unified","Bakersfield, CA","Bakersfield, CA","Bakersfield, CA",0,0,2.5,3,0,1814
"2200018","La Schools For the Deaf And the Visually Impaired","Baton Rouge, LA","Baton Rouge, LA","Baton Rouge, LA",0,0,1,1,0,139
"2006240","Remington-Whitewater School District","Wichita, KS","Wichita, KS","Wichita, KS",0,0,5,5,0,207
"2634680","Van Dyke Public Schools","Warren, MI","Warren-Troy-Farmington Hills, MI","Detroit-Warren-Dearborn, MI",0,0,5,6,0,1382
"3407770","Jamesburg Public School District","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,3,3,0,486
"0901080","Deep River School District","Hartford, CT","Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",0,0,6,6,0,357
"1000080","Appoquinimink School District","Wilmington, DE","Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,0.4,8,10,0.44027676620539,2746
"4211670","Haverford Township School District","Philadelphia, PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5,1,9.6,10,1,2771
"4010290","Duncan School District","Oklahoma City, OK","Oklahoma City, OK","Oklahoma City, OK",0,0,7,7,0,310
"5510470","New Berlin School District","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",3,0.75,9,10,0.777023971053822,2211
"3410470","Monroe Township Board of Education School District","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,3.5,5,0,2279
"4103260","Clatskanie School District 6j","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",0,0,5,5,0,385
"0623430","Magnolia Elementary","Orange County, CA","Anaheim-Santa Ana-Irvine, CA","Los Angeles-Long Beach-Anaheim, CA",0,0,6.44,8,0,6400
"2505370","Grafton School District","Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0,8,8,0,710
"4815000","Conroe Independent School District","Houston, TX","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX",20,0.512820512820513,8.05,10,0.530293052354297,30370
"4500720","Aiken 01 School District","Augusta, GA","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",0,0,5,8,0,11892
"0605520","Bolinas-Stinson Union","San Rafael, CA","San Rafael, CA","San Francisco-Oakland-Hayward, CA",1,1,9,9,1,117
"1001300","Red Clay Consolidated School District","Wilmington, DE","Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,0.0714285714285714,3.79,9,0.0890523912216161,7883
"1601020","Emmett Independent District","Boise, ID","Boise City, ID","Boise City, ID",0,0,4.5,5,0,1075
"3401380","Bellmawr Public School District","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,4.67,7,0,1132
"2928920","St. Charles R-Vi School District","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",2,0.285714285714286,7,9,0.178803172314348,2774
"1742840","Winnetka School District 36","Chicago, IL","Chicago-Naperville-Arlington Heights, IL","Chicago-Naperville-Elgin, IL-IN-WI",4,1,10,10,1,1366
"2623460","Melvindale-North Allen Park Schools","Detroit, MI","Detroit-Dearborn-Livonia, MI","Detroit-Warren-Dearborn, MI",0,0,5,5,0,852
"4211730","Saucon Valley School District","Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",0,0,5,5,0,981
"0406810","Queen Creek Unified District","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",3,0.75,9,10,0.688616641143441,1959
"0641580","Washington Unified School District","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",1,0.142857142857143,4.86,9,0.1812734082397,5340
"0629400","Pacific Union Elementary","Fresno, CA","Fresno, CA","Fresno, CA",0,0,3,3,0,385
"2511740","Triton School District","Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0,6.67,8,0,1623
"4838190","Royal Independent School District","Houston, TX","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX",0,0,1,1,0,874
"5302400","Edmonds School District","Seattle, WA","Seattle-Bellevue-Everett, WA","Seattle-Tacoma-Bellevue, WA",1,0.0476190476190476,6.19,10,0.0500415282392027,9632
"1602100","Meridian Joint District","Boise, ID","Boise City, ID","Boise City, ID",7,0.269230769230769,6.96,10,0.317403127124405,14710
"2510860","Somerset School District","Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0,6.67,8,0,1066
"2904620","Belton 124 School District","Kansas City, MO","Kansas City, MO-KS","Kansas City, MO-KS",0,0,6.17,8,0,2671
"0621900","Linns Valley-Poso Flat Union","Bakersfield, CA","Bakersfield, CA","Bakersfield, CA",0,0,1,1,0,40
"3402030","Bordentown Regional School District","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,3,3,0,405
"5501770","Elmbrook School District","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",5,1,10,10,1,2685
"1802490","Crown Point Community School Corporation","Gary, IN","Gary, IN","Chicago-Naperville-Elgin, IL-IN-WI",2,0.333333333333333,8.33,10,0.350017500875044,2857
"2909720","Clayton School District","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",3,1,9.67,10,1,1093
"0616680","Hawthorne","Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",0,0,4.71,7,0,5637
"4817700","Eagle Mt-Saginaw Independent School District","Fort Worth, TX","Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",0,0,5,8,0,8698
"1800960","Brown County School Corporation","Indianapolis, IN","Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",0,0,5.67,7,0,754
"2913590","Hamilton R-Ii School District","Kansas City, MO","Kansas City, MO-KS","Kansas City, MO-KS",0,0,4,4,0,271
"4025290","Putnam City School District","Oklahoma City, OK","Oklahoma City, OK","Oklahoma City, OK",0,0,5,7,0,9757
"2200540","East Baton Rouge Parish School District","Baton Rouge, LA","Baton Rouge, LA","Baton Rouge, LA",4,0.0888888888888889,4.87,10,0.0775774566194596,20689
"2742160","Wayzata Public School District","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",6,0.857142857142857,9.29,10,0.881002974925627,4706
"0633390","Romoland Elementary","Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0,4.67,6,0,1821
"4206960","Council Rock School District","Montgomery County, PA","Montgomery County-Bucks County-Chester County, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8,0.8,9,10,0.807322485207101,5408
"4826310","La Vernia Independent School District","San Antonio, TX","San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",0,0,8,8,0,660
"2507740","Methuen School District","Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0,4,6,0,5179
"2733540","St. Francis Public School District","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",0,0,7,8,0,2053
"4020910","Mulhall-Orlando School District","Oklahoma City, OK","Oklahoma City, OK","Oklahoma City, OK",1,1,10,10,1,172
"0638880","Tehachapi Unified School District","Bakersfield, CA","Bakersfield, CA","Bakersfield, CA",0,0,5.33,6,0,1969
"0622380","Las Lomitas Elementary","San Francisco, CA","San Francisco-Redwood City-South San Francisco, CA","San Francisco-Oakland-Hayward, CA",2,1,10,10,1,1386
"0607470","Cardiff Elementary","San Diego, CA","San Diego-Carlsbad, CA","San Diego-Carlsbad, CA",2,1,9.5,10,1,731
"3411340","The Newark Public School District","Newark, NJ","Newark, NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",0,0,2.26,7,0,19664
"0600047","Tracy Joint Unified School District","Stockton, CA","Stockton-Lodi, CA","Stockton-Lodi, CA",0,0,4.27,7,0,7566
"1731500","Southwestern Community Unit School District 9","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",1,0.333333333333333,7,9,0.200992555831266,806
"3606570","Carmel Central School District","Dutchess County, NY","Dutchess County-Putnam County, NY","New York-Newark-Jersey City, NY-NJ-PA",1,0.333333333333333,7.33,9,0.291050035236082,1419
"3904425","London City School District","Columbus, OH","Columbus, OH","Columbus, OH",0,0,6,6,0,1020
"2925290","Clinton County R-Iii School District","Kansas City, MO","Kansas City, MO-KS","Kansas City, MO-KS",0,0,5,5,0,340
"2617910","Hartland Consolidated Schools","Warren, MI","Warren-Troy-Farmington Hills, MI","Detroit-Warren-Dearborn, MI",2,0.4,7.6,9,0.34739263803681,2608
"0620040","Knightsen Elementary","Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",0,0,7,7,0,532
"3609390","Dundee Central School District","Rochester, NY","Rochester, NY","Rochester, NY",0,0,4,4,0,390
"0100660","Chilton County School District","Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0,5,7,0,4253
"3414640","Sayreville Public School District","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,6,6,0,986
"2628140","Pinckney Community Schools","Warren, MI","Warren-Troy-Farmington Hills, MI","Detroit-Warren-Dearborn, MI",0,0,7,7,0,834
"3411160","Neptune Township School District","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,3.25,4,0,1524
"3904438","Medina City School District","Cleveland, OH","Cleveland-Elyria, OH","Cleveland-Elyria, OH",1,0.142857142857143,7,9,0.156200694225308,3169
"3623220","Plainview-Old Bethpage Central School District","Long Island, NY","Nassau County-Suffolk County, NY","New York-Newark-Jersey City, NY-NJ-PA",4,1,9.5,10,1,1447
"5508910","McFarland School District","Madison, WI","Madison, WI","Madison, WI",1,1,9,9,1,513
"3406840","Harrington Park School District","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,8,8,0,639
"2508580","Newburyport School District","Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0,7,7,0,341
"3417250","Waterford Township Public School District","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,3,3,0,440
"0611220","Dixie Elementary","San Rafael, CA","San Rafael, CA","San Francisco-Oakland-Hayward, CA",3,1,9.67,10,1,1316
"4204980","Carbondale Area School District","Scranton, PA","Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA",0,0,3,3,0,930
"3618330","Fayetteville-Manlius Central School District","Syracuse, NY","Syracuse, NY","Syracuse, NY",3,1,9.67,10,1,1397
"4823640","Houston Independent School District","Houston, TX","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX",22,0.140127388535032,4.08,10,0.154134890917247,109229
"0691047","Ventura County Office of Education","Oxnard, CA","Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",0,0,1,1,0,546
"0900060","Ansonia School District","New Haven, CT","New Haven-Milford, CT","New Haven-Milford, CT",0,0,3.67,5,0,1820
"1735400","Saratoga Central Consolidated School District 60c","Chicago, IL","Chicago-Naperville-Arlington Heights, IL","Chicago-Naperville-Elgin, IL-IN-WI",0,0,8,8,0,778
"2931560","Wellington-Napoleon R-Ix School District","Kansas City, MO","Kansas City, MO-KS","Kansas City, MO-KS",0,0,7,7,0,225
"3417160","Washington Township School District","Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",0,0,4,4,0,342
"4400960","Scituate School District","Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",1,0.333333333333333,8.33,10,0.234608985024958,601
"3904736","Northwest Local School District","Cincinnati, OH","Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",0,0,6.25,8,0,2546
"4025170","Prue School District","Tulsa, OK","Tulsa, OK","Tulsa, OK",0,0,8,8,0,215
"0609300","Colfax Elementary","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",0,0,7,7,0,320
