district_nces_code,polygon_area,district_name,cbsa_title,median_sale_price,median_sale_price_per_sqft,total_sales
0629940,115193333.18975,Pasadena Unified School District,"Los Angeles-Long Beach-Anaheim, CA",627500.0,428.24074074074076,6207
0630030,929450000.503348,Patterson Joint Unified,"San Francisco-Oakland-Hayward, CA",25e4,104.80182926829268,899
0630250,637330577.365755,Petaluma Joint Union High School District,"San Francisco-Oakland-Hayward, CA",55e4,327.0875763747454,1946
0630330,4389908.32742507,Piedmont City Unified School District,"San Francisco-Oakland-Hayward, CA",175e4,685.455810716771,328
0630600,77667615.3502731,Pittsburg Unified School District,"San Francisco-Oakland-Hayward, CA",305e3,196.1752004935225,1535
0630660,107346814.078589,Placentia-Yorba Linda Unified School District,"Los Angeles-Long Beach-Anaheim, CA",547e3,303.14097881665447,4997
0631320,81480714.4336481,Pomona Unified School District,"Los Angeles-Long Beach-Anaheim, CA",32e4,238.95401262398556,3667
0631470,50974261.7372148,Portola Valley Elementary School District,"San Francisco-Oakland-Hayward, CA",2e6,807.6358296622614,215
0631860,66806548.8336053,Ravenswood City Elementary School District,"San Francisco-Oakland-Hayward, CA",58e4,468.4684684684685,537
0632130,122650765.771743,Redwood City Elementary School District,"San Francisco-Oakland-Hayward, CA",955e3,627.3291925465838,4344
0632160,18261689.7874138,Reed Union Elementary School District,"San Francisco-Oakland-Hayward, CA",21e5,827.2058823529412,590
0632550,158940550.155634,West Contra Costa Unified School District,"San Francisco-Oakland-Hayward, CA",395e3,276.07361963190186,6259
0633110,942736990.272521,River Delta Joint Unified,"San Francisco-Oakland-Hayward, CA",269e3,176.6941101963268,748
0633570,8183452.6861621,Rosemead Elementary,"Los Angeles-Long Beach-Anaheim, CA",508e3,372.00383509108343,335
0633660,6474594.98576053,Ross Elementary,"San Francisco-Oakland-Hayward, CA",294e4,936.768149882904,108
0633750,62894386.2392491,Rowland Unified School District,"Los Angeles-Long Beach-Anaheim, CA",46e4,304.162219850587,1939
0633860,252088575.254124,Saddleback School District,"Los Angeles-Long Beach-Anaheim, CA",371900.0,285.86601307189545,10834
0634230,17376503.5259582,San Bruno Park Elementary,"San Francisco-Oakland-Hayward, CA",55e4,523.0769230769231,985
0634290,14075054.2625509,San Carlos Elementary School District,"San Francisco-Oakland-Hayward, CA",1025e3,661.8705035971223,909
