district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,num_top_schools,percent_top_schools,avg_school_rating,best_rating,percent_students_in_top_schools,total_students,median_sale_price,median_sale_price_per_sqft,total_sales
2400420,Howard County Public Schools,"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",20,0.512820512820513,8.18,10,0.545380527939664,23336,380000,184.02777777777777,11501
2400480,Montgomery County Public Schools,"Washington, DC","Silver Spring-Frederick-Rockville, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",41,0.322834645669291,6.94,10,0.318284230013059,69683,385000,224.0296803652968,35559
2400510,Prince George's County Public Schools,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",5,0.0373134328358209,3.91,10,0.0366084609534603,67061,225000,140.58679706601467,26249
2400540,Queen Anne's County Public Schools,"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",0,0.0,7.0,8,0.0,2540,283500,152.76145710928319,2355
2500542,NA,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,6.0,7,0.0,930,280000,157.95287187039764,610
2501650,Abington School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,5.5,7,0.0,986,290900,181.8181818181818,618
2501740,Acushnet School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0.0,7.0,7,0.0,536,249200,153.52941176470588,333
2501950,Andover School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",2,0.4,8.4,10,0.419329696024942,2566,513000,230.33904229290457,1432
2501980,Arlington Public Schools,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",4,0.571428571428571,8.71,10,0.597945707997065,2726,549000,345.4054054054054,1735
2502100,Ashland School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.0,4,0.0,607,336000,183.22475570032574,844
2502190,Attleboro School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",1,0.2,7.2,9,0.20902934537246,2215,255500,158.53544776119404,1653
2502250,Avon School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,8.0,8,0.0,400,265000,179.0757381258023,154
2502400,Bedford School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,533,615000,283.54247104247105,537
2502460,Bellingham School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,3.5,5,0.0,698,265000,160.3832442067736,787
2502490,Belmont School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",3,0.75,9.0,10,0.668187001140251,1754,765000,391.20502569960024,727
2502520,Berkley School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0.0,2.0,2,0.0,513,313000,178.83124627310673,203
2502790,Boston School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,0.0142857142857143,3.67,10,0.0134614717413177,28823,495000,441.6666666666667,17917
2502880,Boxford School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,459,577500,202.72830617658204,353
2503030,Bridgewater-Raynham School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,734,305000,173.57762777242044,1304
2503030,Bridgewater-Raynham School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0.0,7.0,7,0.0,480,305000,173.57762777242044,1304
2503090,Brockton School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,3.27,5,0.0,8523,217000,139.7058823529412,2990
2503120,Brookfield School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",1,1.0,9.0,9,1.0,316,215000,116.69303797468355,73
2503150,Brookline School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",5,0.625,8.88,10,0.588135593220339,5310,775000,531.095211887727,2077
2503240,Burlington School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,1135,461000,252.5,666
2503330,Carlisle School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,10.0,10,1.0,640,776000,256.8833380641499,225
2503360,Carver School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,3.0,3,0.0,838,285000,177.57009345794393,408
2503510,Chelmsford School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,8,0.0,1813,314900,197.32730263157896,1418
2503540,Chelsea School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.33,6,0.0,1641,285000,192.5254813137033,733
2503750,Clinton School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,2.0,2,0.0,691,215000,142.5820256776034,566
2503780,Cohasset School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,439,750000,290.6542056074766,441
2503840,Concord School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",3,1.0,9.67,10,1.0,1489,805000,331.6953316953317,729
2504050,Dedham School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,0.25,5.25,9,0.273567467652495,1082,389000,261.2704918032787,940
2504260,Dover School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,10.0,10,1.0,504,933500,273.39548225170313,278
2504320,Dracut School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.0,5,0.0,1599,275000,171.20622568093384,896
2504360,Dudley-Charlton Regional School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,6.5,8,0.0,880,240000,135.33464566929135,761
2504410,Duxbury School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,710,547000,239.68446601941747,778
2504440,East Bridgewater School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,8.0,8,0.0,733,276502,173.9969135802469,531
2504830,Fall River School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0.0,4.78,8,0.0,5600,185000,108.68706811451135,1479
2504890,Fitchburg School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,6.67,8,0.0,1901,153900,96.15384615384616,1391
2505010,Franklin School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,0.166666666666667,7.5,10,0.172009382329945,2558,350386,186.13387978142077,1230
2505070,Freetown-Lakeville School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,463,300000,171.41196978500872,773
2505220,Georgetown School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,437,370900,197.7205153617443,322
2505280,Gloucester School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,5.0,8,0.0,1392,337500,219.39953810623555,981
2505610,Halifax School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,568,245000,174.65437788018434,312
2505670,Hamilton-Wenham School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,5.67,6,0.0,789,485000,238.5593220338983,436
2505880,Harvard School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",1,1.0,10.0,10,1.0,461,492000,204.65772759350742,266
2505970,Haverhill School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.2,7,0.0,3013,239900,143.52469959946595,2617
2506150,Holbrook School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,5.0,5,0.0,322,257000,182.53968253968253,426
2506240,Holliston School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,6.0,6,0.0,634,425000,206.34920634920636,630
2506300,Hopedale School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,8.0,8,0.0,631,245000,147.56944444444446,250
2506330,Hopkinton School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,560,519195,209.72354623450906,888
2506420,Hull School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.0,4,0.0,473,335000,219.27449918787224,543
2506540,Kingston School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,6.0,6,0.0,699,359900,190.2102496714849,586
2506720,Leicester School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,2.0,2,0.0,385,205000,133.2560834298957,390
2506840,Lexington School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",6,1.0,10.0,10,1.0,2952,910000,350.33557046979865,1284
2506900,Lincoln School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,8,0.0,898,875000,299.6005326231691,219
2506960,Littleton School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,5.0,5,0.0,352,440000,210.8739837398374,391
2507020,Lowell School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.36,7,0.0,6870,207600,137.5,2794
2507080,Lunenburg School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,6.0,6,0.0,480,252000,144.8170731707317,470
2507110,Lynn School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,3.94,7,0.0,6848,250000,165.96045197740114,2630
2507230,Mansfield School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0.0,7.0,7,0.0,991,345000,193.27731092436974,699
2507350,Marshfield School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",2,0.4,7.8,9,0.35031847133758,2041,380000,215.8183632734531,1001
2507470,Mattapoisett School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,229,405000,222.9845626072041,270
2507500,Maynard School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.0,4,0.0,466,309000,188.95348837209303,516
2507530,Medfield School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,403,621000,255.30035335689047,519
2507590,Medway School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,512,352500,189.8101898101898,528
2507620,Melrose School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",2,0.4,7.6,9,0.374221668742217,1606,440000,265.34653465346537,1145
2507740,Methuen School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.0,6,0.0,5179,270000,159.5744680851064,1937
2507830,Middleton School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,505,450000,218.87719298245614,418
2507890,Millbury School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,6.0,6,0.0,426,259900,152.5722339675828,542
2507920,Millis School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,638,349900,190.12485811577753,358
2508220,Nahant School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,6.0,6,0.0,180,450000,265.214963707426,117
