LEAID,NAME_LEA15,NAME_CBSA15,median_sale_price,median_sale_price_per_sqft,gsmean_pool,mean_commute_time,total_population,percent_under_30,percent_drive_alone,pop_density
3627900,Springs Union Free School District,"New York-Newark-Jersey City, NY-NJ-PA",535e3,348.9010989010989,0.989669719,32.43819419562881,6065.0,0.706198495163024,0.7168470906630582,460.4193141848821
3407770,Jamesburg Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",227e3,152.39477503628447,0.32334019,31.69597499023056,5978.0,0.5302852676826886,0.6604107648725213,6812.210305861915
3408790,Little Silver Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",527e3,245.39473684210526,2.671710994,40.19572143832499,5937.0,0.44924897587619483,0.6150216279984271,2192.4974767418666
3413470,Prospect Park Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",225e3,113.08060109289617,-0.468114066,23.5994032077583,5924.0,0.6471465870943678,0.7414111562615442,12456.930278779339
3412180,Old Tappan Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",72e4,285.2497783032811,2.449791604,32.615518744551004,5922.0,0.44681778552746293,0.7824923547400612,1778.0827493880781
3416170,Tewksbury Township School District,"New York-Newark-Jersey City, NY-NJ-PA",NA,NA,2.522225997,35.62217194570136,5921.0,0.4167420814479638,0.7581967213114754,187.75739902727898
3417190,Watchung Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",1185e3,217.4710956138741,2.602914765,33.01163723916533,5900.0,0.48314606741573035,0.8494045332308875,979.0848163943166
3409930,Mendham Township School District,"New York-Newark-Jersey City, NY-NJ-PA",605500.0,159.35550935550935,3.385637449,30.723960765997198,5885.0,0.5665576833255488,0.7443068318018378,330.9428876798673
3416350,Union Beach Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",192e3,140.24048096192385,0.288522769,32.85688601222582,5885.0,0.49658396260338006,0.8623525205577405,3261.942641299463
3414250,Roseland Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",545e3,254.53277545327754,1.633682109,29.57983193277311,5853.0,0.5641213006941908,0.9002123142250531,1655.257934028592
3409420,Manasquan Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",525e3,324.8670998227998,1.644520757,31.019417475728154,5830.0,0.5703883495145631,0.7566137566137566,4214.523391317478
3411850,Norwood Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",519e3,252.80898876404495,2.425395463,36.33009708737864,5823.0,0.42601941747572813,0.7505454545454545,2134.6562531846803
3418210,Woodcliff Lake Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",678e3,261.9250425894378,2.331108862,36.264830508474574,5818.0,0.48771186440677966,0.6923667050249329,1701.7213414468197
3416440,Union Township School District,"New York-Newark-Jersey City, NY-NJ-PA",198500.0,159.65025906735752,2.283960849,35.02736842105263,5779.0,0.4025263157894737,0.810790273556231,308.4316197777007
3401410,Belmar Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",4e5,285.1782363977486,0.554816701,26.124792013311147,5745.0,0.6505823627287853,0.7048567870485679,5497.119106184542
3414070,Rochelle Park Township School District,"New York-Newark-Jersey City, NY-NJ-PA",315e3,214.37994722955145,0.76717675,24.515734265734267,5624.0,0.7304195804195804,0.8564459930313589,5392.580200330527
3410770,Morris Plains Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",163e3,207.5,2.225527937,30.673603504928806,5598.0,0.588535962029938,0.7652143845089903,2189.047423375239
3613230,Haldane Central School District,"New York-Newark-Jersey City, NY-NJ-PA",448e3,249.90238188207732,1.443807619,44.14047341870392,5508.0,0.40046565774155995,0.6051442474800139,164.4120513522949
3631020,Westhampton Beach Union Free School District,"New York-Newark-Jersey City, NY-NJ-PA",75e4,393.25,1.645702366,24.73835813730197,5442.0,0.6447431589054249,0.7687165775401069,339.3906711547246
3404770,Englewood Cliffs Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",1162e3,383.1845238095238,3.006098211,31.44736842105263,5369.0,0.5180598555211559,0.7084762371386575,2570.212348645456
3407380,Holland Township School District,"New York-Newark-Jersey City, NY-NJ-PA",365e3,165.61514195583595,1.242669961,35.814319433516914,5195.0,0.3992918961447679,0.8559670781893004,220.9255387973269
3410860,Mount Arlington Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",21e4,187.72893772893772,1.10967434,37.89518900343643,5187.0,0.3702749140893471,0.7787713841368584,2388.3045022215906
3406630,Hampton Township School District,"New York-Newark-Jersey City, NY-NJ-PA",195e3,128.43295638126008,1.40533915,32.62772277227723,5056.0,0.5334653465346535,0.83937243182667165,207.04983634973289
3409900,Mendham Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",24e4,NA,3.009783047,29.903011740684022,5016.0,0.5696784073506891,0.82559241706161135,842.971909046827
3403810,Demarest Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",907500.0,380.5073431241656,2.799962038,38.71347785108388,5004.0,0.4019792648444863,0.7018900343642611,2421.2794058138506
3610410,Eldred Central School District,"New York-Newark-Jersey City, NY-NJ-PA",19e4,103.98230088495575,-0.183449896,42.9136690647482,4955.0,0.3967902600996126,0.8040435458786936,2034.8533207627522
3407200,Highlands Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",195e3,162.41299303944317,0.063152904,37.544843049327355,4947.0,0.49514200298953664,0.718104062722737,6740.97767260093
3405400,Franklin Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",132e3,119.9294532627866,0.638968895,37.446535500427714,4944.0,0.3870829769033362,0.8680351906158358,1133.2874709296896
3413320,Point Pleasant Beach Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",475e3,305.25030525030525,1.377550613,27.403153153153152,4944.0,0.5990990990990991,0.7986141186660892,2728.429297229572
3400690,Alexandria Township School District,"New York-Newark-Jersey City, NY-NJ-PA",485e3,145.0358851674641,1.107634066,40.862358371800255,4882.0,0.3785144775493076,0.8453528731199383,178.03514454519117
3411130,Neptune City School District,"New York-Newark-Jersey City, NY-NJ-PA",229500.0,165.02605674580198,0.340920629,22.83367037411527,4834.0,0.6911021233569262,0.7821924365725227,5068.262437178048
3402310,Brielle Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",46e4,259.89604158336664,1.823545564,30.765720081135903,4769.0,0.5877281947261663,0.7997262773722628,2714.591685977614
3406840,Harrington Park Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",599e3,239.58333333333334,2.369760759,35.16585100598151,4764.0,0.4290375203915171,0.7198633479746218,2600.534247198969
3411820,Northvale Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",439e3,247.53974261922787,1.596959186,28.952814569536425,4763.0,0.5596026490066225,0.7961835160373528,3676.957894805868
3623340,Pocantico Hills Central School District,"New York-Newark-Jersey City, NY-NJ-PA",58e4,273.1958762886598,1.501515297,29.57922419460881,4728.0,0.6390532544378699,0.5527989821882952,563.0711605816358
3415600,Spring Lake Heights Borough School District,"New York-Newark-Jersey City, NY-NJ-PA",42e4,271.8393922951709,1.633124746,26.984015044663845,4683.0,0.7259050305594734,0.7207401032702238,3647.975749766756
