district_fips,district_name,percent_under_30,total_population,percent_drive_alone,mean_commute_time
1739630,"Century Community Unit School District 100, Illinois",0.5272305909617613,2488.0,0.8608597285067874,28.39513325608343
1739660,"Union School District 81, Illinois",0.6350067842605156,1529.0,0.853887399463807,27.76797829036635
1739780,"Union Ridge School District 86, Illinois",0.44494304452882294,6397.0,0.7209533267130089,32.159130134622025
1739870,"United Township High School District 30, Illinois",0.7947175260212983,39819.0,0.8492536432827895,19.574032850009026
1739930,"Unity Point Community Consolidated School District 140, Illinois",0.9064077669902912,5765.0,0.8459796149490374,15.372815533980582
1739960,"Urbana School District 116, Illinois",0.9073953870786273,51290.0,0.5508928206595023,15.248604439828638
1740070,"Valley View Community Unit School District 365U, Illinois",0.501476199127907,94114.0,0.857885308622863,30.93772710755814
1740080,"Valmeyer Community Unit School District 3, Illinois",0.3973619126133553,2615.0,0.8787878787878788,35.28854080791426
1740140,"Vandalia Community Unit School District 203, Illinois",0.7680530164533821,11700.0,0.8019281332164768,19.924588665447896
1740200,"Venice Community Unit School District 3, Illinois",0.6820276497695853,732.0,0.8552036199095022,21.497695852534562
1740260,"Vienna School District 55, Illinois",0.7023076923076923,5355.0,0.827123695976155,23.26153846153846
1740290,"Vienna High School District 133, Illinois",0.6064464783127735,9047.0,0.8201655379984951,26.33306804615997
1740320,"Villa Grove Community Unit School District 302, Illinois",0.5048766494549627,3810.0,0.8420765027322404,26.804360298336203
1740350,"Villa Park School District 45, Illinois",0.6113643945290782,36918.0,0.7944727662999732,26.584009785388634
1740410,"Virginia Community Unit School District 64, Illinois",0.6224944320712695,1908.0,0.8361522198731501,23.50779510022272
1740440,"Community High School District 94, Illinois",0.6268584199786221,42375.0,0.7541721357584849,26.45321154406763
1740470,"Wabash Community Unit School District 348, Illinois",0.711096520026264,10348.0,0.821139940450872,21.906325235281244
1740500,"Glen Ellyn Community Consolidated School District 89, Illinois",0.5862563918543106,22210.0,0.8197861870015273,26.64618282946084
1740530,"Wallace Community Consolidated School District 195, Illinois",0.6944704779756327,2594.0,0.8903508771929824,22.835051546391753
1740620,"Waltham Community Consolidated School District 185, Illinois",0.8069432684165961,2470.0,0.8742903487429035,21.248941574936495
1740650,"Waltonville Community Unit School District 1, Illinois",0.7080745341614907,2087.0,0.8689903846153846,24.385093167701864
1740680,"North Wamac School District 186, Illinois",0.6747572815533981,1077.0,0.744578313253012,22.74271844660194
1740740,"Warren Community Unit School District 205, Illinois",0.47662936142198814,3033.0,0.7223994894703255,31.698485845951282
1740800,"Warren Township High School District 121, Illinois",0.5997935515210395,68666.0,0.8265408265408265,27.541593296496448
1740830,"Warrensburg-Latham Community Unit District 11, Illinois",0.7789804469273743,6258.0,0.8848993288590604,20.281075418994412
1740890,"Warsaw Community Unit School District 316, Illinois",0.5683836589698046,2505.0,0.7971737323358271,26.216696269982236
1740920,"Lowpoint-Washburn Community Unit School District 21, Illinois",0.47482724580454094,2603.0,0.8061224489795918,31.391905231984204
1740980,"Washington Community High School District 308, Illinois",0.7970072147501559,24159.0,0.8910133843212237,20.87111427807963
1741010,"District 50 Schools, Illinois",0.8430179494980226,7321.0,0.9077844311377246,19.683602068755704
1741040,"Washington School District 52, Illinois",0.7111994040228458,8760.0,0.8780138457865839,21.99155699031537
1741070,"Waterloo Community Unit School District 5, Illinois",0.44367028814359943,17634.0,0.8548714479025711,31.2954652810581
1741190,"Wauconda Community Unit School District 118, Illinois",0.48798534282291595,27709.0,0.8289171285656347,33.11465013036432
1741250,"Waukegan Community Unit School District 60, Illinois",0.6088799025038777,83626.0,0.724652805651441,25.648820075337913
1741280,"Waverly Community Unit School District 6, Illinois",0.45307443365695793,2026.0,0.7845360824742268,27.955771305285868
1741360,"Wayne City Community Unit School District 100, Illinois",0.5930680359435173,3787.0,0.8322065150583897,24.810654685494224
1741370,"Webber Township High School District 204, Illinois",0.7179282868525897,2873.0,0.868601986249045,26.97609561752988
1741520,"Calumet City School District 155, Illinois",0.47515867804771283,11836.0,0.7372808892689183,32.716130444298535
1741550,"West Chicago School District 33, Illinois",0.6840425531914893,31247.0,0.7335490132643158,24.17121010638298
1741580,"Frankfort Community Unit School District 168, Illinois",0.6991971901655796,11747.0,0.8345792138895587,22.47616658304064
1741600,"West Lincoln-Broadwell Elementary School District 92, Illinois",0.7028571428571428,7053.0,0.8101604278074866,20.57857142857143
1741690,"Indian Prairie Community Unit School District 204, Illinois",0.47099867019093433,128635.0,0.758450885619479,34.828930735006814
1741700,"West Northfield School District 31, Illinois",0.533475935828877,10412.0,0.7663720369626356,31.422459893048128
1741730,"West Richland Community Unit School District 2, Illinois",0.752714113389626,1874.0,0.8758700696055685,22.895054282267793
1741750,"West Washington County Community Unit District 10, Illinois",0.597229621736814,3821.0,0.8771839671120246,28.10335641981886
1741790,"Westchester School District 92-5, Illinois",0.5463380281690141,15750.0,0.8075187969924812,29.898591549295773
1741820,"Western Springs School District 101, Illinois",0.4246575342465753,10131.0,0.5836862045910408,32.99327084835376
1741980,"Westmont Community Unit School District 201, Illinois",0.62982689747004,12936.0,0.7909120310478654,25.642476697736353
1742060,"Wethersfield Community Unit School District 230, Illinois",0.7633720930232558,3909.0,0.8415614236509759,18.976744186046513
1742180,"Community Unit School District 200, Illinois",0.6290385975945287,79317.0,0.7466778432484407,26.379346487435473
1742210,"Wheeling Community Consolidated School District 21, Illinois",0.6011746987951807,66565.0,0.8063181647235803,26.12620481927711
1742240,"North Greene Unit School District 3, Illinois",0.5660639777468707,5848.0,0.7636605952909817,26.824292999536393
1742300,"Whiteside School District 115, Illinois",0.6633630657416584,12703.0,0.803155881415365,25.890320449289725
1742310,"Sterling Community Unit District 5, Illinois",0.8608463981965365,21657.0,0.846277182082373,17.72978788810329
1742450,"Williamsfield Community Unit School District 210, Illinois",0.47635933806146574,1905.0,0.8257491675915649,29.37352245862884
1742480,"Williamsville Community Unit School District 15, Illinois",0.8400948366701791,7848.0,0.8985355648535565,20.740252897787144
1742510,"Willow Grove School District 46, Illinois",0.7904269081500647,1930.0,0.8376703841387856,18.389391979301422
1742570,"Willow Springs School District 108, Illinois",0.30324909747292417,3703.0,0.772218952324897,37.36462093862816
1742600,"Wilmette School District 39, Illinois",0.41722676041774376,26110.0,0.5993771753068328,33.463447420122016
1742630,"Wilmington Community Unit School District 209U, Illinois",0.47798582995951416,9496.0,0.8642679900744417,33.546305668016196
1742660,"Winchester Community Unit School District 1, Illinois",0.7047066408768536,3669.0,0.8065512978986403,24.922630560928432
1742690,"Windsor Community Unit School District 1, Illinois",0.6837606837606838,2778.0,0.8085106382978723,25.542735042735043
1742720,"Winfield School District 34, Illinois",0.4886255924170616,4459.0,0.7530918727915195,32.12322274881517
1742790,"Winnebago Community Unit School District 323, Illinois",0.6737918215613383,8330.0,0.8840160284951024,24.20771375464684
1742840,"Winnetka School District 36, Illinois",0.3416856492027335,12180.0,0.5405911740216486,35.62186788154897
1742900,"Winthrop Harbor School District 1, Illinois",0.6188645771732703,6508.0,0.8604250430786904,26.565641632170312
1742960,"Wolf Branch School District 113, Illinois",0.6030659731727347,7786.0,0.8473780328724236,25.867779906925815
1742990,"Shawnee Community Unit School District 84, Illinois",0.6246122026887281,2469.0,0.8965873836608066,26.184074457083764
1743020,"Wood Dale School District 7, Illinois",0.6115825201527365,10394.0,0.7789323553382234,26.130674586338564
1743050,"Wood River-Hartford Elementary School District 15, Illinois",0.6628527841342486,6309.0,0.9126539753639418,23.335240274599542
1743110,"Woodland Community Consolidated School District 50, Illinois",0.5858528237307473,50940.0,0.8219569859670531,27.919484964550566
1743170,"Woodlawn Community Consolidated School District 4, Illinois",0.7792207792207793,2715.0,0.8273121387283237,20.88235294117647
1743200,"Woodlawn Community High School District 205, Illinois",0.746241731809982,3396.0,0.8502304147465438,24.774503908598916
1743330,"Woodstock Community Unit School District 200, Illinois",0.5781499202551834,37550.0,0.8194692178801146,31.593757120072908
1743380,"Worth School District 127, Illinois",0.46954022988505745,11185.0,0.7895034925429488,35.62068965517241
1743800,"Zeigler-Royalton Community Unit School District 188, Illinois",0.5469543147208121,4194.0,0.7906137184115524,25.288705583756347
1743860,"Zion Elementary School District 6, Illinois",0.5811816885791224,17018.0,0.8173671199011124,28.282116268018374
1743890,"Zion-Benton Township High School District 126, Illinois",0.561889333265833,44272.0,0.8369930761622156,28.762466460790765
1743960,"Yorkville Community Unit School District 115, Illinois",0.46841962591488207,30209.0,0.869579565705234,32.30855245323936
1743962,"Midwest Central Community Unit School District 191, Illinois",0.4549618320610687,5952.0,0.88558524651863,29.34351145038168
1799999,"Remainder of Illinois, Illinois",0.574418108110386,8055372.0,0.703175529369228,28.122839941452614
1800008,"White River Valley School District, Indiana",0.5826017557861133,5547.0,0.8284371327849589,27.984836392657623
1800030,"Southwest Allen County Metropolitan School District, Indiana",0.796875865507118,40217.0,0.8881851018164686,21.738215255082256
1800060,"Adams Central Community Schools, Indiana",0.7172434191067731,8577.0,0.6361894333424583,25.69801833776989
1800107,"Tri-Township Consolidated School Corporation, Indiana",0.5476718403547672,2868.0,0.8575518969219756,31.042128603104214
1800118,"North Central Parke Community School Corporation, Indiana",0.6267352185089974,11124.0,0.8170432220039293,26.25706940874036
1800120,"Alexandria Community School Corporation, Indiana",0.5966509988249119,8692.0,0.8649112764739554,25.650705052878966
1800150,"Anderson Community School Corporation, Indiana",0.708636760850568,70710.0,0.8171624633016165,23.1696038450335
1800180,"Argos Community Schools, Indiana",0.6274984857662023,3811.0,0.7470997679814385,25.75105996365839
1800210,"Attica Consolidated School Corporation, Indiana",0.7098991750687442,4845.0,0.8312331233123312,21.1044912923923
1800240,"South Dearborn Community School Corporation, Indiana",0.562133197244195,17089.0,0.8526065758219777,29.971293697371777
1800270,"Avon Community School Corporation, Indiana",0.6095694621575267,47427.0,0.8905376434486527,25.907471744579798
1800330,"Barr-Reeve Community School Corporation, Indiana",0.6403004860804242,5242.0,0.6527125160187954,25.450729120636325
1800360,"Bartholomew County School Corporation, Indiana",0.8390625450976996,73774.0,0.8480422622747048,18.465956648483274
1800390,"Batesville Community School Corporation, Indiana",0.7642158638174574,12146.0,0.8274732850741123,21.042194856935893
1800420,"Baugo Community Schools, Indiana",0.7396329027872196,9620.0,0.88172521120498,20.878087468842057
1800450,"Beech Grove City Schools, Indiana",0.7197962154294032,13850.0,0.8735045742434905,22.577328966521105
1800480,"Benton Community School Corporation, Indiana",0.6203423967774421,11084.0,0.8020333780932285,25.19335347432024
1800570,"Blackford County Schools, Indiana",0.657989587505006,12476.0,0.8711764705882353,23.601321585903083
1800600,"Bloomfield School District, Indiana",0.458607551091098,6761.0,0.8185825703628349,30.756841011430552
1800630,"Monroe County Community School Corporation, Indiana",0.8431588678708576,124581.0,0.6836235270042123,18.107666050348456
1800660,"Blue River Valley Schools, Indiana",0.5703211517165006,6934.0,0.8893685914732865,30.008305647840533
1800690,"North Harrison Community School Corporation, Indiana",0.4470288624787776,13729.0,0.8919277308138571,31.587436332767403
1800720,"Bluffton-Harrison Metropolitan School District, Indiana",0.7460685743748389,8587.0,0.8616620637710268,18.82186130445991
1800750,"Boone Township Metropolitan School District, Indiana",0.46543951915852744,6208.0,0.8524945770065075,29.729526671675433
1800840,"Clay Community Schools, Indiana",0.6132561132561133,25828.0,0.8187606492691238,25.487221915793345
