"place_id","place_fips","polygon_area","is_suburb","walk_score"
6818,3426640,7310014.34975946,"suburb",
24275,3647306,17379939.150768,"suburb",
24753,3653792,4947162.81160973,"suburb",
24701,3653264,4464832.83526151,"suburb",
26102,3673352,8723949.24726852,"suburb",
24590,3651528,13016360.5417295,"suburb",
35134,3475020,6566700.5159885,"suburb",
19346,3476490,2674742.38741709,"suburb",
16248,3463360,5495615.76162402,"suburb",
7302,3428650,629613.702258426,"suburb",
24693,3653198,4993629.62191479,"suburb",
19408,3476730,29063824.7904813,"suburb",
10334,3640530,7647422.2868218,"suburb",
16142,3462910,7665744.97755801,"suburb",
26689,3683294,11580079.0290394,"suburb",
15521,3460090,8529359.5738514,"suburb",
1121,3404180,7369591.67614616,"suburb",
20151,3480270,6849056.41306029,"suburb",
34591,3463900,15688410.0971024,"suburb",
12517,3648890,8533457.3020713,"suburb",
5348,3620698,8229371.65011964,"suburb",
18639,3473140,10828694.6336472,"suburb",
18352,3671894,5719994.34219758,"suburb",
22668,3624405,12740883.9471405,"suburb",
10381,3440680,4790348.23901394,"suburb",
6433,3424990,25923269.2558419,"suburb",
1769,3406790,4600272.69178406,"suburb",
10278,3440290,22552470.8546645,"suburb",
11106,3443620,6615024.06197817,"suburb",
8153,3431920,8336066.64807031,"suburb",
9434,3437110,51688496.1494153,"suburb",
23483,3436660,9586564.01542624,"suburb",
20136,3680203,4433807.57092327,"suburb",
21538,3607157,22360859.5603356,"suburb",
26326,3676661,12884431.960655,"suburb",
7691,3630169,5750525.08259038,"suburb",
24249,3646976,21813738.3244222,"suburb",
9287,3436480,7059135.9195989,"suburb",
17323,3667638,13353489.7647957,"suburb",
22859,3626946,31326846.3924661,"suburb",
5894,3622876,2666622.97515092,"suburb",
19331,3476400,5730525.75891847,"suburb",
12962,3650397,2222902.87594027,"suburb",
31765,3408110,4155825.4225664,"suburb",
11429,3444880,3329929.62278391,"suburb",
23540,3637583,5726071.93138096,"suburb",
23576,3438040,16362101.5576551,"suburb",
523,3602044,6405843.59261621,"suburb",
25822,3669254,9096946.29582375,"suburb",
16500,3664325,10053347.9044147,"suburb",
5036,3419510,10785164.1432442,"suburb",
31285,3458830,7080632.43161344,"suburb",
25072,3658409,3632604.20446269,"suburb",
10204,3440020,4227306.77825917,"suburb",
31313,3471370,13741484.9139488,"suburb",
3129,3412100,6174201.16491211,"suburb",
34949,3671620,4394422.86274643,"suburb",
