"region_walkscore_id","region_type_id","region_table_id","walk_score","transit_score","bike_score","jobs","population"
2609,6,29695,48.9473,,,,19740.2
1883,6,29500,16.3702,,,6808.54,18311.6
1068,6,21031,17.6119,,,4647.19,20658
2398,6,4846,49.319,,,25675.9,29857.3
3201,6,1973,43.9367,,,4645.88,24987.5
1749,6,29465,32.3904,,,28312.4,73124
1733,6,29462,21.386,,,6671.91,39797.1
1731,6,29459,40.1768,21.7854,,60157.4,195478
1276,6,4476,15.5734,,,4068.14,84456.7
1205,6,26793,52.5234,,,7807.21,17411.9
4879,6,15690,31.7074,,,6266.7,33483.4
3244,6,7806,54.7178,,,6097.23,18727.8
14730,6,25968,34.9297,38.7311,,18293.8,189156
4253,6,16032,58.4224,,,8904.29,22252.8
3939,6,12490,28.4611,,,14261,26222.4
1762,6,3210,49.5018,47.1656,,50351.5,80348.1
2946,6,13826,25.1824,,,7264.93,17365.1
2801,6,489,21.0221,,,13616.5,48969.7
2039,6,17480,21.5583,,,8514.07,28895.1
1516,6,15962,20.2548,,,8328.02,33942.6
2029,6,13386,34.7155,,,33486.8,69796.2
14865,6,12963,60.2572,,,20310.9,58400.1
1935,6,16911,40.4618,,,2905.66,27980.2
1476,6,14479,34.7033,,,54606.8,51773.2
5058,6,20418,32.5111,19.7057,45.8918,168657,437639
5192,6,13223,38.3391,35.3142,,49415.6,46428.4
2614,6,10142,65.553,49.4565,,,56381.7
2442,6,8865,41.5012,,52.2936,13119.1,22850.9
3379,6,2832,67.0607,50.3782,54.4979,143583,261170
1500,6,15203,13.668,,,24464.2,164360
352,6,6998,28.8004,14.5107,57.4723,41033.4,207773
2889,6,14828,46.8645,,,41342.3,44993.3
1578,6,19737,28.6309,,,9676.95,33581.2
3999,6,19256,26.3575,,,9239.07,18595.8
4639,6,10568,39.7486,,,82969.8,235151
1930,6,16775,22.4391,,,14902.8,39482.4
4913,6,16751,28.692,15.9472,,35862,72780.8
2981,6,8000,25.7101,,,16456.1,25557.5
4657,6,11455,37.4915,21.1144,46.6776,127430,229784
4032,6,21075,36.7111,,,31570.3,66916.9
2275,6,10392,40.6671,,,101134,118772
357,6,23055,10.1084,,,3358.16,21239
1384,6,11467,73.3524,52.623,,50502.2,86744.6
2027,6,12493,34.8986,,,18834.9,31209.1
4587,6,7054,20.1127,,,6619.35,35840.7
5045,6,19068,35.2657,,,11745.9,23699.4
672,6,8306,67.1459,,,22497,84802.3
4828,6,3598,31.9463,,,15679.1,29606.8
1727,6,285,35.9255,,,15280.9,27751
4119,6,7995,44.1074,38.8113,,33978.4,105394
544,6,2673,53.4408,38.5964,,22319.4,39367.5
300,6,17682,35.3912,,,9574.89,20627
2775,6,17662,18.0811,,,27921.7,70950.5
14886,6,23841,71.3995,,,2420.07,21907.3
615,6,5401,52.9538,,,3593.89,27174.1
519,6,1415,32.9496,,,11201.4,26936.3
3542,6,24589,55.2975,,,2587.1,19952.7
4344,6,8702,11.6838,,,21616.6,37150.5
1291,6,22447,12.5935,,,7741.26,22437
14589,6,11675,44.7725,,,3540.29,19687.2
3878,6,6612,38.7242,,,15955.1,48926.1
657,6,7193,72.2345,,,25222.2,57964.3
