 place_id , median_sale_price , median_sale_price_per_sqft , total_sales 
2499,215000,168.6217009,30
2508,150000,118.6666667,7
2511,133500,115.8854167,7
2542,261000,194.0559441,9
2549,63000,42.29651163,6
2553,500000,453.3898305,10
2558,130000,91.95830231,7
2570,20000,15.72327044,5
2575,181000,148.2914249,26
2579,455000,315.2542373,100
2586,123000,97.61904762,8
2610,44200,39.46428571,9
2619,128000,106.2240664,22
2641,123000,104.1666667,33
2650,92000,75.44836116,5
2652,235000,170.166546,8
2654,170000,134.3283582,223
2665,80500,71.875,13
2672,174000,127.5992439,29
2673,975000,735.2941176,15
2676,25000,23.19109462,6
2677,97000,82.46527778,5
2703,50000,40.09433962,19
2704,276500,186.9506423,5
2707,70000,58.33333333,6
2710,50000,47.16981132,7
2712,164900,115.6741958,116
2716,106000,68.74189364,5
2717,145000,134.9206349,7
2721,87500,62.5,6
2735,175000,147.3048327,19
2736,265000,203.7037037,11
2740,155000,114.6449704,6
2745,215000,126.8115942,6
2749,244900,177.238806,25
2767,251000,214.2857143,9
2772,73000,53.4660767,8
2779,60000,49.11742134,42
2780,180000,147.4978051,5
2794,180000,128.9556962,9
2815,224900,183.0985915,14
2825,190000,151.7857143,8
2831,118800,107.306338,15
2832,100000,84.00758534,233
2833,823000,610.6870229,11
2848,849000,697.5578475,9
2853,138600,121.4043993,35
2860,158000,114.2947103,6
2869,89900,74.10071942,10
2882,139000,111.0223642,48
2891,619000,472.7921499,24
2893,142000,120,18
2901,182500,108.7719298,5
2908,1150000,859.1954023,45
2922,270000,201.5186916,15
2932,121000,89.53313253,12
2933,165500,144.7944007,10
2938,268546,197.1393035,22
2942,121000,89.09090909,11
2955,125500,77.67558528,9
2968,235000,180.5555556,19
2976,130000,110,21
2980,169100,126.4950166,12
2990,375000,328.7435456,19
3003,122500,94.23076923,14
3007,475000,348.2404692,14
3009,137750,77.88944724,5
3019,41500,32.96703297,7
3050,160000,126.1829653,13
3059,218900,154.0957015,27
3062,145000,120.7788671,9
3092,125000,102.3907104,8
3101,67600,54.34782609,81
3104,205000,163.5464231,280
3105,190000,139.0302067,273
3115,237500,188.0576527,53
3119,57000,51.63043478,33
3154,80300,57.19373219,7
3158,137505,90.42179262,5
3165,140000,111.5384615,9
3171,99800,75.03759398,7
3182,82000,63.84408602,11
3194,153000,136.6071429,5
3199,32000,25.64102564,12
3207,44000,29.6875,5
3214,99900,85.0591716,19
3220,315000,199.0553306,23
3222,67000,55.33854167,9
3241,183980,120.3465982,7
3242,72000,57.69230769,8
3251,157500,144.4833625,17
3258,192000,155.0079491,13
3261,161000,138.7931034,12
3263,127000,100.7827789,23
3277,258000,210.9375,17
3281,94000,89.01515152,5
3300,147000,95.33794788,25
3327,283000,182.1730644,18
3330,170000,114.8648649,8
3340,144000,104.0221914,12
3343,149000,121.3592233,5
3344,155000,124.1830065,462
3345,129900,94.6714032,5
3348,38500,25.13227513,6
3356,110000,80.53221289,21
3362,181000,120.8333333,155
3369,252000,199.6666667,22
3376,110000,88.76669285,11
3379,130000,99.08256881,17
3383,102000,82.25806452,13
3386,88000,63.55932203,5
3390,240000,195.6521739,69
3391,70000,67,5
3417,180000,121.9512195,5
3419,160000,115.914787,56
3439,145000,96.2815405,8
3444,60000,47.52066116,9
3445,343800,277.2727273,13
3447,405000,350.4672897,19
3461,212500,148.6111111,22
3464,182500,127.5510204,17
3466,117000,99.73958333,12
3478,315000,252.5252525,110
3481,123500,91.48148148,11
3482,77500,69.19642857,7
3488,195000,139.7435897,6
3494,400000,325.0188964,16
3500,43000,31.7812269,7
3508,47000,39.52205882,48
3510,166454,109.0545273,9
3515,98900,80.95238095,19
3529,150000,100.127551,8
3538,89000,74.16666667,6
3539,236500,201.9230769,44
3556,41500,22.60348584,5
3562,97500,80.27210884,25
3575,195900,152.4513619,5
3578,460000,382.2739481,17
3597,157325,106.0141509,5
3598,140000,90.03115265,16
3609,430000,377.3584906,7
3614,87000,75.5952381,15
3621,94500,61.98390342,9
3628,114900,101.4072848,34
3629,61000,50.37159372,17
3637,169900,117.8571429,9
3648,40000,38.26550388,8
3663,100000,76.79180887,72
3670,250000,178.3050847,26
3671,68000,45.87155963,24
3681,170000,129.1666667,43
3688,69500,61.09022556,9
3689,475000,307.5291622,28
3692,103000,74.83333333,13
3694,110000,88.84297521,7
3697,182000,126.8382353,41
3701,230000,178.0965517,63
3707,450000,343.1677019,66
3710,62900,58.67537313,5
3713,77000,60.79766537,9
3715,211000,163.2104455,9
3732,113400,97.65625,15
3735,127000,114.1384389,41
3738,165500,129.889669,12
3744,217000,154.1381929,13
3754,82000,52.05479452,5
3755,50200,40.87947883,6
3758,102500,72.96137339,5
3763,260000,195.7831325,20
3765,36800,35.62439497,7
3782,114000,87.39495798,33
3790,79000,53.7414966,6
3797,295000,243.8307873,11
3807,65000,56.81818182,18
3809,217500,163.4980989,10
3811,134900,118.5958254,21
3834,185000,141.0909091,6
3843,235000,202.4,16
3852,109000,106.5868263,7
3855,12500,8.514986376,5
3859,188800,164.5768025,8
3879,102500,79.63800905,769
3882,53500,41.47286822,10
3884,139500,120.9887251,9
3890,310000,260.4166667,64
3894,95000,71.88703466,15
3918,111000,77.88461538,59
3923,225000,196.8503937,9
3928,275000,177.6129944,30
3930,101000,73.66885485,21
3931,229900,173.0572597,7
3948,166000,115.6914894,28
3950,109000,102.2514071,7
3955,88000,69.47674419,9
3972,200000,135.3179973,6
3974,155000,135.9489051,15
3976,97000,60.625,5
3978,86000,71.67431193,48
3981,89000,85.57692308,19
3987,340000,284.6153846,5
4001,110000,76.38888889,19
4006,239000,156.0052219,5
4032,200000,136.239782,5
4034,90000,71.25890736,7
4038,90000,75.59055118,16
4041,94000,78.79295893,29
4052,85000,68.68867083,23
4067,574900,416.6666667,6
4079,69000,49.21259843,36
4092,250000,202.4253731,33
4102,144100,99.50556242,6
4105,210000,208.3333333,5
4110,105000,83.10991957,25
4118,36000,26.6864344,7
4125,181000,155.1470588,7
4130,182000,130.8139535,25
4132,195000,149.3108729,9
4144,122000,99.91311903,50
4145,50000,39.19874313,120
4147,157000,136.640557,25
4150,445000,398.8985051,21
4153,62500,59.41064639,9
4167,179000,133.1293037,6
4182,79900,72.42063492,28
4197,152000,131.3594662,11
4200,90000,55.83126551,5
4201,74000,54.25709516,12
4202,125000,75.66585956,5
4204,51500,42.70462633,8
4212,158372,120.1303403,11
4216,75000,42.44482173,7
4241,198500,151.0663507,24
4248,82000,77.06766917,8
4249,410000,268.9873418,95
4253,90000,87.00396825,9
4274,129900,96.86038744,51
4280,104000,79.48243993,12
4283,185000,113.3105802,58
4289,1200000,835.0730689,5
4292,250000,189.8971001,40
4294,95000,83.33333333,5
4296,231500,165.3275649,31
4302,107000,83.19604613,160
4306,640000,468.75,29
4308,95800,76.44017725,35
4310,126926,72.21767594,5
4313,165000,135.9223301,12
4316,439000,333.6510963,9
4332,64800,60.78431373,18
4350,109000,90.72847682,47
4353,100000,78.49293564,5
4362,195000,141.1695216,133
4367,412000,321.5717723,14
4369,98000,93.33333333,20
4383,75000,48.54368932,7
4397,83000,71.18226601,21
4400,125000,91.91176471,123
4409,325000,295.3074434,8
4414,199900,169.8369565,8
4418,130000,109.6938776,6
4420,79900,74.52830189,10
4430,155000,112.8914785,8
4433,80000,64.81818182,28
4438,98500,69.34628975,7
4446,62000,54.60164835,24
4456,230000,156.779661,172
4476,97000,79.05686546,181
4481,164000,139.047619,14
4488,208000,148.241206,10
4490,174900,125,17
4496,275000,223.3384853,6
4497,60000,56.9,15
4507,109000,90.98101266,6
4511,93000,61.79401993,6
4513,65000,46.00694444,14
4532,200000,122.1590909,25
4535,196000,160.4234528,9
4538,112000,107.6923077,5
4540,80000,78.86904762,6
4545,111000,80.16147636,5
4557,980000,828.5984848,39
4569,96000,93.02325581,6
4570,288000,233.9449541,29
4578,120000,97.4025974,8
4580,99000,74.4047619,60
4582,53000,44.16666667,6
4587,155000,124.824356,25
4590,69000,61.58088235,13
4596,450000,379.0523691,14
4608,83000,64.39393939,6
4621,88000,73.4557596,5
4628,142000,117.47851,37
4636,800000,657.6576577,46
4641,715000,523.5294118,28
4644,98500,91.2037037,5
4654,107500,95.5568054,13
4658,680000,577.9716467,8
4664,150000,106.9991955,639
4668,127000,105.8333333,5
4670,225000,155.8550969,5
4690,457000,352.9980658,33
4692,198000,125.2359975,10
4694,158000,114.5757796,18
4709,320000,200.8393285,12
4721,199900,117.5882353,6
4748,62000,48.66666667,15
4757,153760,114.4606414,17
4772,74000,60.75533662,20
4786,164900,108.629776,6
4800,120000,83.69565217,144
4810,174000,145.9459459,144
