"place_id","city","state_code","is_suburb","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
24719,"Osprey","FL","suburb","North Port, FL","North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",1,1,10,10,1,2183
15032,"Saint Paul","MN","suburb","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",0,0,7,7,0,583
19642,"Westfield","MA","suburb","Springfield, MA","Springfield, MA","Springfield, MA",0,0,3.86,5,0,2435
16660,"Scottsdale","AZ","suburb","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",9,0.45,7.85,10,0.475309122015709,12859
13247,"Newfield","NJ","suburb","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,7,7,0,438
16162,"Rochester","NY","principal_city","Rochester, NY","Rochester, NY","Rochester, NY",8,0.133333333333333,3.68,10,0.121712663725591,29241
3863,"Clemson","SC","suburb","Greenville, SC","Greenville-Anderson-Mauldin, SC","Greenville-Anderson-Mauldin, SC",1,1,9,9,1,786
10168,"Lancaster","SC","suburb","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC",0,0,4,7,0,3264
3609,"Clayton","CA","suburb","Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",1,1,9,9,1,814
30515,"Rhinebeck","NY","suburb","Dutchess County, NY","Dutchess County-Putnam County, NY","New York-Newark-Jersey City, NY-NJ-PA",0,0,7,7,0,442
29513,"Somonauk","IL","suburb","Elgin, IL","Elgin, IL","Chicago-Naperville-Elgin, IL-IN-WI",0,0,5,5,0,291
5997,"Elgin","SC","suburb","Columbia, SC","Columbia, SC","Columbia, SC",0,0,6.25,8,0,5254
2354,"Brookhaven","PA","suburb","Philadelphia, PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,7.5,8,0,581
18094,"Walnut Cove","NC","suburb","Winston, NC","Winston-Salem, NC","Winston-Salem, NC",0,0,5.5,6,0,491
11830,"Maryville","TN","suburb","Knoxville, TN","Knoxville, TN","Knoxville, TN",4,0.333333333333333,7,10,0.41828165374677,6192
7426,"Galena","OH","suburb","Columbus, OH","Columbus, OH","Columbus, OH",2,0.666666666666667,9,10,0.811282740094023,1489
2283,"Brooksville","FL","suburb","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",0,0,5,5,0,768
10124,"Kiefer","OK","suburb","Tulsa, OK","Tulsa, OK","Tulsa, OK",0,0,7,7,0,391
31313,"Roxbury Township","NJ","suburb","Newark, NJ","Newark, NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",0,0,7.5,8,0,887
13665,"North Haledon","NJ","suburb","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,4,4,0,394
30318,"Madison","NY","suburb","Syracuse, NY","Syracuse, NY","Syracuse, NY",0,0,6,6,0,487
18204,"Stewart Manor","NY","suburb","Long Island, NY","Nassau County-Suffolk County, NY","New York-Newark-Jersey City, NY-NJ-PA",1,1,9,9,1,373
19585,"Troy","OH","suburb","Dayton, OH","Dayton, OH","Dayton, OH",0,0,5.57,8,0,2414
8102,"Guthrie","OK","suburb","Oklahoma City, OK","Oklahoma City, OK","Oklahoma City, OK",0,0,3,4,0,1276
4138,"Chickamauga","GA","suburb","Chattanooga, TN","Chattanooga, TN-GA","Chattanooga, TN-GA",0,0,8,8,0,595
14622,"North East","MD","suburb","Wilmington, DE","Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,4.5,5,0,1057
19865,"University Heights","OH","suburb","Cleveland, OH","Cleveland-Elyria, OH","Cleveland-Elyria, OH",0,0,2,2,0,362
23265,"Harvey","LA","suburb","New Orleans, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",0,0,4.2,6,0,2732
25812,"Stanfield","AZ","suburb","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0,2,2,0,529
30286,"Lewiston","NY","suburb","Buffalo, NY","Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY",0,0,2,2,0,107
24875,"Oxford Township","NJ","suburb","Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",0,0,4,4,0,303
