"district_nces_code","median_sale_price","median_sale_price_per_sqft","total_sales"
"2505790",380000,302.5267993874425727,6
"2505970",212000,168.0972818311874106,42
"2506090",380000,316.9014084507042254,7
"2506150",210000,172.6973684210526316,6
"2506240",242000,178.3166904422253923,5
"2506330",320000,277.7000503271263211,11
"2506390",259000,172.6666666666666667,6
"2506420",350000,248.1481481481481481,11
"2506480",315000,243.4815950920245399,12
"2506540",295750,210,7
"2506720",167000,121.2781408859840232,12
"2506780",180000,154.5454545454545455,30
"2506840",525000,407.460545193687231,11
"2506930",400000,332.3412698412698413,8
"2506960",290000,269.0166975881261596,7
"2507020",243000,176.7676767676767677,31
"2507080",186000,165.7754010695187166,11
"2507110",235000,194.5668135095447871,78
"2507140",379900,238.391845979614949,7
"2507230",245000,216.9270833333333333,7
"2507260",425000,291.6018662519440124,20
"2507320",265000,200,13
"2507350",310000,250.4604051565377532,22
"2507380",440000,370.9949409780775717,8
"2507410",374900,253.1041069723018147,5
"2507440",260000,221.0663198959687906,29
"2507470",257500,225.0874125874125874,9
"2507500",240000,190.2777777777777778,9
"2507560",401000,326.8101761252446184,27
"2507590",287500,225.4681647940074906,7
"2507620",383200,294.1176470588235294,18
"2507680",235000,179.3721973094170404,12
"2507740",230000,180,30
"2507860",220000,169.8717948717948718,14
"2507890",169320,166.9822485207100592,7
"2507980",355000,283.8605028386050284,7
"2508220",342900,292.5925925925925926,6
"2508280",160000,140.4166666666666667,8
"2508310",269000,208.3326388888888889,17
"2508340",365000,286.8032786885245902,20
"2508370",525000,441.4682539682539683,7
"2508430",175000,143.1709646609360076,58
"2508580",390000,304.2763157894736842,27
"2508610",590000,408.4967320261437908,16
"2508640",285000,253.4507042253521127,7
"2508700",300000,242.2407267221801665,15
"2508730",240000,200,17
"2508760",160000,121.2121212121212121,5
"2508790",228000,158.5365853658536585,15
"2508820",310000,259.1036414565826331,13
"2508880",229000,163.5906040268456376,11
"2508910",229000,163.5906040268456376,16
"2508940",185000,125,13
"2509000",263000,188.8888888888888889,19
"2509060",345000,281.329923273657289,23
"2509150",327000,268.3080808080808081,17
"2509210",403500,282.5020441537203598,13
"2509270",175000,141.0590277777777778,19
"2509360",251000,206.1403508771929825,21
"2509420",265000,205.9086839749328559,19
"2509450",260000,203.9381153305203938,15
"2509690",235000,220.7341269841269841,7
"2509720",262000,215.0055991041433371,85
"2509840",512500,424.6064623032311516,5
"2509870",348000,282.1180555555555556,56
"2509930",245000,182.4966078697421981,21
"2509990",349900,299.5670995670995671,19
"2510050",265000,193.7682570593962999,27
"2510170",220000,187.0748299319727891,8
"2510200",350000,289.8044692737430168,13
"2510380",275000,204.1553748870822042,30
"2510470",287000,235.3896103896103896,26
"2510500",283500,225.4901960784313725,30
"2510560",361000,262.5820568927789934,18
"2510590",236000,169.133398247322298,18
"2510620",275000,221.882258064516129,6
"2510770",242500,183.9622641509433962,24
"2510860",205000,174.3498817966903073,18
"2510890",508000,456.3492063492063492,9
"2510980",180000,131.0043668122270742,5
"2511220",387500,293.4615384615384615,20
"2511250",259000,191.9014084507042254,13
"2511310",189900,147.7462437395659432,5
"2511340",395000,328.7037037037037037,5
"2511400",215000,161.3976705490848586,8
"2511430",350000,292.5925925925925926,10
"2511460",183174,154.0469973890339426,21
"2511490",177000,144,7
"2511520",191000,163.2665094339622642,36
"2511580",270000,211.2676056338028169,13
"2511740",370000,263.3814783347493628,18
"2511850",197000,138.75,8
"2511880",206000,158.7301587301587302,38
"2511910",375000,292.8870292887029289,19
"2511970",310000,247.2122302158273381,11
"2512000",373000,294.7122861586314152,38
"2512100",126000,88.4057971014492754,11
"2512180",504900,397.7272727272727273,6
"2512210",370000,293.3333333333333333,13
"2512240",177500,127.3983115886415963,18
"2512270",560000,434.7826086956521739,9
"2512300",357000,265.9574468085106383,13
"2512390",222400,156.5884476534296029,5
"2512420",240000,203.2755298651252408,12
"2512660",262000,242.7947598253275109,11
"2512780",290000,218.4210526315789474,25
"2512810",410000,324.3670886075949367,7
"2512840",300000,244.186046511627907,53
"2512930",224000,159.2105263157894737,27
"2513050",290000,228,27
"2513080",121519,107,12
"2513110",582000,348.0475382003395586,7
"2513170",380000,291.1877394636015326,13
"2513200",370000,270.4678362573099415,27
"2513230",168500,136.3636363636363636,166
"2513290",300000,198.4126984126984127,6
"2600005",50000,39.1551383399209486,54
"2600015",62000,51.0204081632653061,23
"2600016",85000,64.4712430426716141,9
"2601920",84000,71.9178082191780822,21
"2601950",33600,31.4018691588785047,24
"2601980",125000,99.0566037735849057,5
"2602190",115000,92.7727272727272727,39
"2602220",79900,62.5,32
"2602520",84000,74.9636098981077147,14
"2602550",135000,121.5488215488215488,25
"2602790",135000,100.430416068866571,17
"2602820",245000,190.014903129657228,72
"2603240",118000,104.1666666666666667,7
"2603540",69000,59.5854922279792746,8
"2603690",132000,117.8128523111612176,15
"2603810",71500,56.25,38
"2603870",71003,57.9223918575063613,13
"2604470",85000,77.2946859903381643,22
"2604530",71750,63.45,17
"2604650",103000,88.1006864988558352,7
"2604740",27000,26.3671875,7
"2604800",57000,51.6304347826086957,14
"2604830",67000,52.6315789473684211,48
"2605010",155000,135,22
"2605430",75536,58.2706766917293233,14
"2605780",72000,56.3636363636363636,5
"2605820",72001,58.9721988205560236,6
"2605850",281652,213.0339539978094195,32
"2606000",70000,62.6118067978533095,7
"2606270",67000,49.9166666666666667,15
"2606570",129000,115.3846153846153846,17
"2606600",55000,49,9
"2606780",59000,47.619047619047619,10
"2606840",99000,81.5384615384615385,9
"2606870",195000,169.8606271777003484,14
"2606960",68000,52.6785714285714286,8
"2606990",109900,80.1020408163265306,20
"2607040",115000,104.5454545454545455,5
"2607140",80000,65.3061224489795918,15
"2607410",60000,58.4795321637426901,6
"2607530",123000,92.3309178743961353,5
"2607560",140000,103.4599728629579376,11
"2607620",147500,113.1585714285714286,24
"2607800",50000,47.619047619047619,6
"2607890",45000,40.9090909090909091,33
"2608070",40750,37.3853211009174312,9
"2608130",72000,62.2837370242214533,7
"2608430",79000,68.3333333333333333,19
"2608520",111000,95.5,24
"2608580",54000,44.7882736156351792,8
"2608640",81000,67.5,20
"2608670",76000,61.9469026548672566,7
"2608940",230000,198.7899740708729473,14
"2609150",79900,53.5522788203753351,7
"2609560",95000,73.9583333333333333,40
"2609570",111194,81.4717477003942181,12
"2609900",130000,110.6194690265486726,21
"2609930",136000,120,15
"2610050",82000,74.5454545454545455,5
"2610080",50200,50.0998003992015968,9
"2610110",71000,60.7843137254901961,27
"2610140",71500,54.5822102425876011,36
"2610380",60000,51.6917293233082707,24
"2610590",74000,55.8328134747348721,21
"2610620",123060,98.6179664363277394,14
"2610650",138000,123.3705772811918063,6
"2610750",90000,76.7973856209150327,11
"2610830",112900,89.1666666666666667,7
"2611430",72000,63.0782169890664424,30
"2611600",92500,77.3333333333333333,51
"2611610",57000,50.4424778761061947,13
"2611670",73000,60.8695652173913043,11
"2611910",135000,105.2631578947368421,45
"2612000",21000,18.2083029861616897,110
"2612030",229191,176.7085582112567463,8
"2612150",83000,66.6666666666666667,25
"2612300",27500,25.1141552511415525,7
"2612420",94900,91.4258188824662813,32
"2612450",49900,41.3079470198675497,59
"2612480",144500,109.7902097902097902,23
"2612540",90250,82.6465201465201465,10
"2612960",76000,58.1039755351681957,9
"2612990",125000,89.2857142857142857,27
"2614070",122500,112.4517374517374517,25
"2614230",120000,91.776798825256975,16
"2614250",110000,94.7741935483870968,21
"2614280",133500,116.2136832239925023,39
"2614460",40000,37.7747252747252747,14
"2614520",25000,22.9330708661417323,50
"2614550",84000,68.3106884057971014,33
"2614610",152000,112.7760252365930599,15
"2614730",55000,46.7687074829931973,5
"2614820",109900,94.5829750644883921,7
"2615060",98000,75.4531722054380665,8
"2615150",95000,73.1692677070828331,24
"2615390",91000,77.7113578138343296,27
"2615450",70000,64.5161290322580645,10
"2615540",78000,68.7702265372168285,20
"2615870",115000,106.4453125,11
"2616050",68900,55.2083333333333333,12
"2616080",69500,55.0925925925925926,11
"2616110",93000,66.1361141602634468,32
"2616320",170000,137.987012987012987,10
"2616350",95000,78.0532598714416896,32
"2616380",125000,101.3215859030837004,49
"2616440",94000,73.8955823293172691,357
"2616470",112000,91.2408759124087591,42
"2616500",94900,80.392156862745098,13
"2616830",192500,142.4870466321243523,9
"2617160",81500,63.5,43
"2617220",250000,144.66070489216202,8
"2617250",99000,73.3240223463687151,31
"2617400",145000,132.326007326007326,16
"2617520",45000,40,8
"2617640",76000,69.9172033118675253,10
"2617730",95000,71.0900473933649289,16
"2617760",68200,45.9859703819173811,15
"2617860",79900,62.2222222222222222,11
"2617910",130000,98.4848484848484848,6
"2617970",85900,67.7570093457943925,42
"2618270",94500,82.1428571428571429,14
"2618390",76000,62.6045454545454545,26
"2618420",108000,84.3558282208588957,73
"2618450",89000,72.3240115718418515,21
"2618510",81000,75.5597014925373134,11
"2618540",69000,53.1996915959907479,5
"2618570",147500,127.4131274131274131,13
"2618720",152000,118.006993006993007,34
"2618810",59000,45.7364341085271318,10
"2618840",143500,117.0394736842105263,39
"2618930",139900,94.9118046132971506,10
"2618990",175000,142.6344505066250974,18
"2619100",132000,99.5879120879120879,7
"2619250",69000,59.3971631205673759,28
"2619620",62000,44.7834645669291339,89
"2619800",85000,77.2058823529411765,23
"2619830",129500,84.4854070660522273,12
"2619920",69000,56.8885448916408669,8
"2619950",72300,60.2300242130750605,176
"2620010",140000,92.1052631578947368,5
"2620070",54000,44.0705128205128205,21
"2620160",92000,78.2581453634085213,24
"2620280",108000,85.7142857142857143,27
"2620310",82000,81.8363273453093812,6
"2620340",127000,89.9166666666666667,41
"2620670",130000,86.9565217391304348,12
"2620730",135000,125,22
"2620820",88000,78.8551401869158879,16
"2620850",79900,64.7495361781076067,60
"2620880",125000,100.4536616979909268,41
"2620910",96000,73.3333333333333333,24
"2620940",70000,63.6111111111111111,12
"2620980",82000,71.3636363636363636,13
