nces_code,name,city,state_code,is_suburb,district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,school_quality,great_schools_rating,number_of_students,median_sale_price,median_sale_price_per_sqft,total_sales
320006000458,Addeliar Guy Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,599,142000,118.19484240687679,12
320006000459,Sue H Morrow Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,10,762,160000,131.39204545454547,13
320006000469,Berkeley L Bunker Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,4,597,165000,135.42600896860986,6
320006000473,Edith Garehime Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,650,177000,123.37259764414135,15
320006000485,Keith C & Karen W Hayes Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,641,209000,150.62454077883908,6
320006000489,Ollie Detwiler Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,631,106000,94.14207149404216,5
320006000506,John C. Bass Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,886,159000,127.83171521035598,33
320006000508,William K. Moore Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,670,110000,96.91629955947137,6
320006000509,d'Vorre & Hall Ober Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,820,225000,165.7848324514991,19
320006000510,Hal Smith Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,750,140000,97.62900976290098,22
320006000512,Ethel W. Staton Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,10,814,239900,173.34558823529412,52
320006000513,Elise L. Wolff Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,936,254900,175.37826685006877,39
320006000527,Marshall C Darnell Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,686,156000,110.86474501108647,8
320006000529,Lucille S Rogers Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,709,245000,164.967562557924,5
320006000531,Neil C Twitchell Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,10,927,226900,174.7141041931385,135
320006000532,Fredric W Watson Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,688,139500,101.52838427947599,10
320006000547,Tony Alamo Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,923,155000,125.29365700861393,37
320006000549,Steve Cozine Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,4,767,136000,104.4776119402985,6
320006000550,Roger D Gehring Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,706,180000,156.91263782866835,21
320006000552,Marlan J. Walker Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,893,158000,121.91358024691358,10
320006000573,Eileen Conners Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,851,148500,116.56952539550375,26
320006000574,Eva G Simmons Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,711,125000,100.48231511254019,11
320006000580,John R Hummel Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,793,157000,125.09773260359655,33
320006000581,Judy & John L Goolsby Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,813,300000,194.57245263696876,64
320006000583,Glen C. Taylor Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,10,882,248000,176.70915411355736,6
320006000584,Richard C. Priest Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,805,155000,97.4512743628186,8
320006000585,James Bilbray Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,631,147000,106.81658468025299,11
320006000586,Charles & Phyllis Frias Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,790,238400,136.10938471100062,8
320006000587,Howard E Hollingsworth Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,681,68000,52.88932419196866,11
320006000621,Wayne N Tanaka Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,992,170000,129.14417887432538,22
